City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dalandzadgad,43.5708,104.425,23.95,39,0,1.79,MN,1690159599
1,edinburgh of the seven seas,-37.0676,-12.3116,13.42,79,38,11.39,SH,1690159599
2,olonkinbyen,70.9221,-8.7187,4.59,92,100,5.52,SJ,1690159599
3,fort st. john,56.2499,-120.8529,22.94,31,75,2.57,CA,1690159305
4,uturoa,-16.7333,-151.4333,25.91,76,83,5.58,PF,1690159600
5,rawson,-43.3002,-65.1023,4.68,56,100,1.54,AR,1690159600
6,grand-bassam,5.2118,-3.7388,24.98,89,100,2.3,CI,1690159600
7,bredasdorp,-34.5322,20.0403,10.98,61,100,3.15,ZA,1690159600
8,port-aux-francais,-49.35,70.2167,5.78,93,100,16.75,TF,1690159600
9,adamstown,-25.066,-130.1015,20.63,70,100,8.3,PN,1690159601
10,enewetak,11.3474,162.3373,28.57,74,93,8.15,MH,1690159601
11,grytviken,-54.2811,-36.5092,-5.96,76,42,3.91,GS,1690159601
12,kidal,18.4411,1.4078,34.5,31,71,3.91,ML,1690159601
13,ushuaia,-54.8,-68.3,-0.19,74,0,4.12,AR,1690159601
14,lompoc,34.6391,-120.4579,31.55,79,100,2.06,US,1690159328
15,puerto ayora,-0.7393,-90.3518,24.82,82,57,3.69,EC,1690159451
16,kuala terengganu,5.3302,103.1408,25.97,100,20,2.24,MY,1690159601
17,iskateley,67.6803,53.1512,14.87,90,100,2.4,RU,1690159602
18,ust'-uda,54.1742,103.0304,16.14,89,100,2.27,RU,1690159602
19,haiku-pauwela,20.9219,-156.3051,30.01,65,40,12.86,US,1690159602
20,mount pearl,47.5166,-52.7813,21.19,92,75,4.12,CA,1690159602
21,puerto natales,-51.7236,-72.4875,-4.21,92,15,1.49,CL,1690159418
22,chul'man,56.8479,124.9104,21.51,64,100,0.37,RU,1690159602
23,la huacana,18.9667,-101.8167,27.09,75,35,1.11,MX,1690159523
24,monrovia,6.3005,-10.7969,24.87,84,95,3.99,LR,1690159603
25,pisco,-13.7,-76.2167,21.03,68,100,5.14,PE,1690159603
26,bilibino,68.0546,166.4372,16.59,66,100,1.3,RU,1690159603
27,kisangani,0.5167,25.2,22.69,88,18,1.04,CD,1690159603
28,waitangi,-43.9535,-176.5597,13.79,95,100,0.45,NZ,1690159603
29,dumai,1.6833,101.45,25.2,83,96,0.87,ID,1690159603
30,gallipoli,40.4103,26.6708,25.92,80,0,4.56,TR,1690159603
31,flying fish cove,-10.4217,105.6791,24.82,83,75,5.66,CX,1690159603
32,margaret river,-33.95,115.0667,12.62,70,4,6.38,AU,1690159604
33,kokkola,63.8385,23.1307,14.09,95,100,1.03,FI,1690159604
34,nizhniy kuranakh,58.8353,125.4869,24.91,62,52,0.95,RU,1690159604
35,bethel,41.3712,-73.414,25.5,73,20,2.06,US,1690159604
36,kismayo,-0.3582,42.5454,24.82,79,100,7.13,SO,1690159604
37,dhidhdhoo,6.8833,73.1,28.34,78,98,6.23,MV,1690159604
38,whitehorse,60.7161,-135.0538,17.43,77,100,13.89,CA,1690159604
39,susuman,62.7833,148.1667,13.98,60,93,3.27,RU,1690159430
40,crane,31.3974,-102.3501,36.91,16,42,4.3,US,1690159315
41,kapuskasing,49.4169,-82.4331,18.05,94,100,3.6,CA,1690159341
42,okhotsk,59.3833,143.3,21.1,58,6,2.59,RU,1690159456
43,sandnessjoen,66.0217,12.6316,11.29,95,100,1.4,NO,1690159605
44,egilsstadir,65.2653,-14.3948,7.95,93,100,2.06,IS,1690159605
45,madimba,-10.4,40.3333,21.62,94,20,7.2,TZ,1690159605
46,christchurch,-43.5333,172.6333,11.11,92,100,8.75,NZ,1690159373
47,tolanaro,-25.0319,46.9987,19.04,88,0,1.03,MG,1690159605
48,port lincoln,-34.7333,135.8667,13.32,71,100,1.72,AU,1690159606
49,shingu,33.7333,135.9833,28.34,68,0,2.24,JP,1690159606
50,isafjordur,66.0755,-23.124,10.8,88,99,1.47,IS,1690159606
51,manta,-0.95,-80.7333,26.67,74,40,5.81,EC,1690159606
52,'ain el turk,35.7438,-0.7693,27.38,89,40,2.06,DZ,1690159606
53,blackmans bay,-43.0167,147.3167,12.63,70,100,2.99,AU,1690159435
54,papatowai,-46.5619,169.4708,9.99,88,88,1.35,NZ,1690159606
55,ogdensburg,44.6942,-75.4863,24.09,78,0,1.54,US,1690159606
56,georgetown,5.4112,100.3354,28.96,93,20,1.03,MY,1690159607
57,verkhniy baskunchak,48.2256,46.7217,23.22,51,69,3.6,RU,1690159607
58,abaete,-19.16,-45.4458,21.73,58,98,2.29,BR,1690159607
59,mugia,43.1041,-9.2179,17.73,79,97,4.26,ES,1690159607
60,gunjur,13.2019,-16.7339,26.04,94,75,0.0,GM,1690159607
61,northam,51.0333,-4.2167,16.48,94,95,2.33,GB,1690159428
62,thompson,55.7435,-97.8558,21.09,43,20,4.12,CA,1690159608
63,minas de marcona,-15.2119,-75.1103,12.9,86,68,5.23,PE,1690159608
64,golden hills,35.1425,-118.4904,33.88,17,89,2.68,US,1690159608
65,tazacorte,28.629,-17.9293,22.54,89,0,7.2,ES,1690159608
66,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1690159608
67,vila franca do campo,37.7167,-25.4333,21.23,87,25,2.57,PT,1690159608
68,ust-nera,64.5667,143.2,18.41,50,95,1.63,RU,1690159608
69,wailua homesteads,22.0669,-159.378,28.44,81,75,7.72,US,1690159609
70,tiksi,71.6872,128.8694,8.43,66,99,2.26,RU,1690159417
71,khark,29.2614,50.3306,32.58,70,35,2.45,IR,1690159609
72,constantia,44.1833,28.65,17.61,67,0,2.87,RO,1690159609
73,leninskoye,41.7589,69.3864,26.68,25,0,1.25,KZ,1690159609
